position,full_name,in_degree,out_degree,centrality,eigen_cent
DM,Defensive Midfielder,0.12,0.13,0.11,0.49
GK,Goalkeeper,0.03,0.06,0.06,0.13
LCD,Left Central Defender,0.09,0.10,0.09,0.26
LD,Left Defender,0.08,0.10,0.09,0.26
LF,Left Forward,0.09,0.06,0.08,0.21
LM,Left Midfielder,0.10,0.08,0.09,0.32
OM,Offensive Midfielder,0.11,0.10,0.10,0.37
RCD,Right Central Defender,0.09,0.11,0.10,0.27
RD,Right Defender,0.10,0.12,0.10,0.26
RF,Right Forward,0.09,0.06,0.08,0.21
RM,Right Midfielder,0.11,0.09,0.10,0.32
